ARO_Accession,CARD_Name,Model_Type,ARO_Categories,Match_Status,ResFinder_Gene_Name,ResFinder_Class,Match_Tier,Match_Confidence,Alternate_ResFinder_Synonyms,Excluded_Candidates_ClassMismatch,N_Pathogens_With_Hit,Max_NCBI_WGS_Prevalence_Pct,Top_Pathogen_By_WGS_Pct,Has_Perfect_Strict_Hit
ARO:3005268,TEM-237,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,no_reliable_match,,,,,,,3,0.15,Klebsiella pneumoniae,True
ARO:3005269,TEM-238,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,no_reliable_match,,,,,,,2,0.09,Enterobacter hormaechei,True
ARO:3005270,TEM-240,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,no_reliable_match,,,,,,,1,0.13,Klebsiella quasipneumoniae,True
ARO:3005273,TEM-243,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,no_reliable_match,,,,,,,3,0.04,Salmonella enterica,True
ARO:3005274,PDC-225,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; monobactam,no_reliable_match,,,,,,,1,0.04,Pseudomonas aeruginosa,True
ARO:3005277,PDC-105,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; monobactam,no_reliable_match,,,,,,,1,0.06,Pseudomonas aeruginosa,True
ARO:3005281,PDC-258,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; monobactam,no_reliable_match,,,,,,,1,0.01,Pseudomonas aeruginosa,True
ARO:3005284,PDC-264,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; monobactam,no_reliable_match,,,,,,,1,0.04,Pseudomonas aeruginosa,True
ARO:3005286,PDC-346,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; monobactam,no_reliable_match,,,,,,,1,0.03,Pseudomonas aeruginosa,True
ARO:3005287,PDC-285,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; monobactam,no_reliable_match,,,,,,,1,0.17,Pseudomonas aeruginosa,True
ARO:3005288,PDC-337,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; monobactam,no_reliable_match,,,,,,,1,0.01,Pseudomonas aeruginosa,True
ARO:3005292,PDC-19b,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; monobactam,no_reliable_match,,,,,,,1,0.04,Pseudomonas aeruginosa,True
ARO:3005294,PDC-461,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; monobactam,no_reliable_match,,,,,,,1,0.01,Pseudomonas aeruginosa,True
ARO:3005295,PDC-19a,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; monobactam,no_reliable_match,,,,,,,1,2.58,Pseudomonas aeruginosa,True
ARO:3005297,PDC-255,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; monobactam,no_reliable_match,,,,,,,1,0.0,Pseudomonas aeruginosa,True
ARO:3005300,PDC-207,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; monobactam,no_reliable_match,,,,,,,1,0.01,Pseudomonas aeruginosa,True
ARO:3005303,PDC-117,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; monobactam,no_reliable_match,,,,,,,1,0.46,Pseudomonas aeruginosa,True
ARO:3005305,PDC-104,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; monobactam,no_reliable_match,,,,,,,1,0.03,Pseudomonas aeruginosa,True
ARO:3005309,PDC-119,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; monobactam,no_reliable_match,,,,,,,1,0.09,Pseudomonas aeruginosa,True
ARO:3005311,PDC-257,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; monobactam,no_reliable_match,,,,,,,1,0.01,Pseudomonas aeruginosa,True
ARO:3005315,OXA-779,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,no_reliable_match,,,,,,,1,0.01,Pseudomonas aeruginosa,True
ARO:3005316,OXA-838,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,no_reliable_match,,,,,,,1,0.01,Pseudomonas aeruginosa,True
ARO:3005318,OXA-543,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,no_reliable_match,,,,,,,1,0.03,Pseudomonas aeruginosa,True
ARO:3005323,OXA-926,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,no_reliable_match,,,,,,,2,0.27,Klebsiella michiganensis,True
ARO:3005325,OXA-573,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,no_reliable_match,,,,,,,1,0.51,Ralstonia solanacearum,True
