ARO_Accession,CARD_Name,Model_Type,ARO_Categories,Match_Status,ResFinder_Gene_Name,ResFinder_Class,Match_Tier,Match_Confidence,Alternate_ResFinder_Synonyms,Excluded_Candidates_ClassMismatch,N_Pathogens_With_Hit,Max_NCBI_WGS_Prevalence_Pct,Top_Pathogen_By_WGS_Pct,Has_Perfect_Strict_Hit
ARO:3000005,vanD,protein homolog model,antibiotic target alteration; glycopeptide antibiotic,matched,VanD,Glycopeptide,case_insensitive,High,,,5,25.58,Enterocloster clostridioformis,True
ARO:3000010,vanA,protein homolog model,antibiotic target alteration; glycopeptide antibiotic,matched,VanA,Glycopeptide,case_insensitive,High,,,7,28.71,Enterococcus faecium,True
ARO:3000013,vanB,protein homolog model,antibiotic target alteration; glycopeptide antibiotic,matched,VanB,Glycopeptide,case_insensitive,High,,,3,4.41,Enterococcus faecium,True
ARO:3000118,vgaB,protein homolog model,antibiotic target protection; pleuromutilin antibiotic; streptogramin A antibiotic; streptogramin antibiotic,matched,vga(B),Macrolide resistance,loose,High,,,2,0.75,Staphylococcus epidermidis,True
ARO:3000149,FosA,protein homolog model,antibiotic inactivation; phosphonic acid antibiotic,matched,fosA,Fosfomycin resistance,case_insensitive,High,,,6,67.57,Pseudomonas aeruginosa,True
ARO:3000165,tet(A),protein homolog model,antibiotic efflux; tetracycline antibiotic,matched,tet(A),Tetracycline,exact,High,,,62,37.62,Shigella sonnei,True
ARO:3000166,tet(B),protein homolog model,antibiotic efflux; tetracycline antibiotic,matched,tet(B),Tetracycline,exact,High,,,54,67.55,Shigella flexneri,True
ARO:3000167,tet(C),protein homolog model,antibiotic efflux; tetracycline antibiotic,matched,tet(C),Tetracycline,exact,High,,,67,57.14,Achromobacter insolitus,True
ARO:3000168,tet(D),protein homolog model,antibiotic efflux; tetracycline antibiotic,matched,tet(D),Tetracycline,exact,High,,,42,15.38,Citrobacter werkmanii,True
ARO:3000172,FosB,protein homolog model,antibiotic inactivation; phosphonic acid antibiotic,matched,fosB,Fosfomycin resistance,case_insensitive,High,,,3,82.25,Bacillus cereus,True
ARO:3000173,tet(E),protein homolog model,antibiotic efflux; tetracycline antibiotic,matched,tet(E),Tetracycline,exact,High,,,3,20.43,Aeromonas caviae,True
ARO:3000175,tet(H),protein homolog model,antibiotic efflux; tetracycline antibiotic,matched,tet(H),Tetracycline,exact,High,,,11,41.38,Histophilus somni,True
ARO:3000178,tet(K),protein homolog model,antibiotic efflux; tetracycline antibiotic,matched,tet(K),Tetracycline,exact,High,,,18,15.38,Staphylococcus pasteuri,True
ARO:3000180,tetA(P),protein homolog model,antibiotic efflux; tetracycline antibiotic,matched,tetA(P),Tetracycline,exact,High,,,2,0.24,Clostridium perfringens,True
ARO:3000182,tet(Y),protein homolog model,antibiotic efflux; tetracycline antibiotic,matched,tet(Y),Tetracycline,exact,High,,,11,50.0,Acinetobacter wuhouensis,True
ARO:3000183,tet(Z),protein homolog model,antibiotic efflux; tetracycline antibiotic,matched,tet(Z),Tetracycline,exact,High,,,1,16.67,Trueperella pyogenes,True
ARO:3000186,tet(M),protein homolog model,antibiotic target protection; tetracycline antibiotic,matched,tet(M),Tetracycline,exact,High,,,99,71.43,Peptoniphilus harei,True
ARO:3000190,tet(O),protein homolog model,antibiotic target protection; tetracycline antibiotic,matched,tet(O),Tetracycline,exact,High,,,51,44.44,Roseburia hominis,True
ARO:3000191,tet(Q),protein homolog model,antibiotic target protection; tetracycline antibiotic,matched,tet(Q),Tetracycline,exact,High,,,24,100.0,Eubacterium limosum,True
ARO:3000192,tet(S),protein homolog model,antibiotic target protection; tetracycline antibiotic,matched,tet(S),Tetracycline,exact,High,,,15,15.56,Lactococcus garvieae,True
ARO:3000193,tet(T),protein homolog model,antibiotic target protection; tetracycline antibiotic,matched,tet(T),Tetracycline,exact,High,,,2,0.93,Streptococcus dysgalactiae,True
ARO:3000194,tet(W),protein homolog model,antibiotic target protection; tetracycline antibiotic,matched,tet(W),Tetracycline,exact,High,,,43,80.0,Christensenella minuta,True
ARO:3000195,tetB(P),protein homolog model,antibiotic target protection; tetracycline antibiotic,matched,tetB(P),Tetracycline,exact,High,,,10,100.0,Peptacetobacter hiranonis,True
ARO:3000196,tet(32),protein homolog model,antibiotic target protection; tetracycline antibiotic,matched,tet(32),Tetracycline,exact,High,,,18,20.93,Enterocloster clostridioformis,True
ARO:3000197,tet(36),protein homolog model,antibiotic target protection; tetracycline antibiotic,matched,tet(36),Tetracycline,exact,High,,,11,100.0,Clostridium septicum,True
ARO:3000198,FosX,protein homolog model,antibiotic inactivation; phosphonic acid antibiotic,matched,fosX,Fosfomycin resistance,case_insensitive,High,,,2,74.47,Listeria monocytogenes,True
ARO:3000205,tet(X),protein homolog model,antibiotic inactivation; glycylcycline; tetracycline antibiotic,matched,tet(X),Tetracycline,exact,High,,,17,100.0,Myroides phaeus,True
ARO:3000230,ANT(2'')-Ia,protein homolog model,aminoglycoside antibiotic; antibiotic inactivation,matched,aadB,Aminoglycoside,alias_bridge,Medium,,,55,17.65,Alcaligenes faecalis,True
ARO:3000250,ErmC,protein homolog model,antibiotic target alteration; lincosamide antibiotic; macrolide antibiotic; streptogramin A antibiotic; streptogramin antibiotic; streptogramin B antibiotic,matched,erm(C),Macrolide resistance,loose,High,,,30,21.42,Staphylococcus epidermidis,True
ARO:3000251,msrA,protein homolog model,antibiotic target protection; macrolide antibiotic; streptogramin antibiotic; streptogramin B antibiotic,matched,msr(A),Macrolide resistance,loose,High,,,14,65.0,Staphylococcus arlettae,True
ARO:3000300,lsaA,protein homolog model,antibiotic target protection; lincosamide antibiotic; pleuromutilin antibiotic; streptogramin A antibiotic; streptogramin antibiotic; streptogramin B antibiotic,matched,lsa(A),Macrolide resistance,loose,High,,,1,2.79,Enterococcus faecalis,True
ARO:3000316,mphA,protein homolog model,antibiotic inactivation; macrolide antibiotic,matched,mph(A),Macrolide resistance,loose,High,,,48,24.32,Citrobacter portucalensis,True
ARO:3000318,mphB,protein homolog model,antibiotic inactivation; macrolide antibiotic,matched,mph(B),Macrolide resistance,loose,High,,,7,1.79,Streptococcus uberis,True
ARO:3000319,mphC,protein homolog model,antibiotic inactivation; macrolide antibiotic,matched,mph(C),Macrolide resistance,loose,High,,,11,41.07,Staphylococcus equorum,True
ARO:3000347,ErmA,protein homolog model,antibiotic target alteration; lincosamide antibiotic; macrolide antibiotic; streptogramin A antibiotic; streptogramin antibiotic; streptogramin B antibiotic,matched,erm(A),Macrolide resistance,loose,High,,,19,15.79,Enterococcus avium,True
ARO:3000361,EreA,protein homolog model,antibiotic inactivation; macrolide antibiotic,matched,ere(A),Macrolide resistance,loose,High,,,16,3.96,Proteus mirabilis,True
ARO:3000363,EreB,protein homolog model,antibiotic inactivation; macrolide antibiotic,matched,ere(B),Macrolide resistance,loose,High,,,6,3.07,Morganella morganii,True
ARO:3000375,ErmB,protein homolog model,antibiotic target alteration; lincosamide antibiotic; macrolide antibiotic; streptogramin A antibiotic; streptogramin antibiotic; streptogramin B antibiotic,matched,erm(B),Macrolide resistance,loose,High,,,86,51.28,Staphylococcus pseudintermedius,True
ARO:3000391,norA,protein homolog model,antibiotic efflux; disinfecting agents and antiseptics; fluoroquinolone antibiotic,matched,norA,Quinolone,exact,High,,,1,72.13,Staphylococcus epidermidis,True
ARO:3000410,sul1,protein homolog model,antibiotic target replacement; sulfonamide antibiotic; sulfone antibiotic,matched,sul1,sulphonamide resistance,exact,High,,,93,59.68,Aeromonas caviae,True
ARO:3000412,sul2,protein homolog model,antibiotic target replacement; sulfonamide antibiotic; sulfone antibiotic,matched,sul2,sulphonamide resistance,exact,High,,,100,100.0,Actinobacillus indolicus,True
ARO:3000413,sul3,protein homolog model,antibiotic target replacement; sulfonamide antibiotic; sulfone antibiotic,matched,sul3,sulphonamide resistance,exact,High,,,27,12.5,Citrobacter youngae,True
ARO:3000448,QepA1,protein homolog model,antibiotic efflux; fluoroquinolone antibiotic,matched,qepA1,Quinolone,case_insensitive,High,,,1,0.0,Shigella flexneri,True
ARO:3000467,NDM-5,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam,matched,blaNDM-5,Beta-Lactamase,debla,High,,,16,7.24,Klebsiella quasipneumoniae,True
ARO:3000478,tet(33),protein homolog model,antibiotic efflux; tetracycline antibiotic,matched,tet(33),Tetracycline,exact,High,,,2,0.63,Corynebacterium diphtheriae,True
ARO:3000498,ErmF,protein homolog model,antibiotic target alteration; lincosamide antibiotic; macrolide antibiotic; streptogramin A antibiotic; streptogramin antibiotic; streptogramin B antibiotic,matched,erm(F),Macrolide resistance,loose,High,,,17,38.46,Phocaeicola massiliensis,True
ARO:3000522,ErmG,protein homolog model,antibiotic target alteration; lincosamide antibiotic; macrolide antibiotic; streptogramin A antibiotic; streptogramin antibiotic; streptogramin B antibiotic,matched,erm(G),Macrolide resistance,loose,High,,,10,23.75,Bacteroides caccae,True
ARO:3000556,tet(44),protein homolog model,antibiotic target protection; tetracycline antibiotic,matched,tet(44),Tetracycline,exact,High,,,5,8.14,Erysipelatoclostridium ramosum,True
ARO:3000566,tet(39),protein homolog model,antibiotic efflux; tetracycline antibiotic,matched,tet(39),Tetracycline,exact,High,,,9,50.0,Acinetobacter wuhouensis,True
ARO:3000567,tet(40),protein homolog model,antibiotic efflux; tetracycline antibiotic,matched,tet(40),Tetracycline,exact,High,,,10,22.22,Roseburia hominis,True
ARO:3000569,tet(41),protein homolog model,antibiotic efflux; tetracycline antibiotic,matched,tet(41),Tetracycline,exact,High,,,1,23.07,Serratia marcescens,True
ARO:3000589,NDM-1,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam,matched,blaNDM-1,Beta-Lactamase,debla,High,,,52,50.0,Acinetobacter wuhouensis,True
ARO:3000590,NDM-2,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam,matched,blaNDM-2,Beta-Lactamase,debla,High,,,1,0.03,Acinetobacter baumannii,True
ARO:3000593,ErmQ,protein homolog model,antibiotic target alteration; lincosamide antibiotic; macrolide antibiotic; streptogramin A antibiotic; streptogramin antibiotic; streptogramin B antibiotic,matched,erm(Q),Macrolide resistance,loose,High,,,3,4.89,Clostridium perfringens,True
ARO:3000595,ErmT,protein homolog model,antibiotic target alteration; lincosamide antibiotic; macrolide antibiotic; streptogramin A antibiotic; streptogramin antibiotic; streptogramin B antibiotic,matched,erm(T),Macrolide resistance,loose,High,,,19,25.0,Streptococcus pasteurianus,True
ARO:3000596,ErmX,protein homolog model,antibiotic target alteration; lincosamide antibiotic; macrolide antibiotic; streptogramin A antibiotic; streptogramin antibiotic; streptogramin B antibiotic,matched,erm(X),Macrolide resistance,loose,High,,,16,100.0,Corynebacterium ureicelerivorans,True
ARO:3000602,Erm(39),protein homolog model,antibiotic target alteration; lincosamide antibiotic; macrolide antibiotic; streptogramin A antibiotic; streptogramin antibiotic; streptogramin B antibiotic,matched,erm(39),Macrolide resistance,case_insensitive,High,,,2,100.0,Mycolicibacterium septicum,True
ARO:3000604,Erm(35),protein homolog model,antibiotic target alteration; lincosamide antibiotic; macrolide antibiotic; streptogramin A antibiotic; streptogramin antibiotic; streptogramin B antibiotic,matched,erm(35),Macrolide resistance,case_insensitive,High,,,7,3.42,Bacteroides ovatus,True
ARO:3000605,Erm(36),protein homolog model,antibiotic target alteration; lincosamide antibiotic; macrolide antibiotic; streptogramin A antibiotic; streptogramin antibiotic; streptogramin B antibiotic,matched,erm(36),Macrolide resistance,case_insensitive,High,,,1,4.44,Micrococcus luteus,True
ARO:3000617,mecA,protein homolog model,antibiotic target replacement; carbapenem; cephalosporin; cephamycin; monobactam; penam,matched,mecA,Beta-Lactamase,exact,High,,,13,57.69,Staphylococcus pseudintermedius,True
ARO:3000843,MUS-1,protein homolog model,antibiotic inactivation; carbapenem; penam; penem,matched,blaMUS-1,Beta-Lactamase,debla,High,,,1,71.43,Myroides odoratimimus,True
ARO:3000845,GIM-1,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; cephamycin; monobactam; penam; penem,matched,blaGIM-1,Beta-Lactamase,debla,High,,,4,0.28,Acinetobacter pittii,True
ARO:3000846,SIM-1,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,matched,blaSIM-1,Beta-Lactamase,debla,High,,,3,0.01,Pseudomonas aeruginosa,True
ARO:3000847,KHM-1,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam; penem,matched,blaKHM-1,Beta-Lactamase,debla,High,,,2,0.0,Enterobacter hormaechei,True
ARO:3000848,DIM-1,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin,matched,blaDIM-1,Beta-Lactamase,debla,High,,,1,0.1,Pseudomonas aeruginosa,True
ARO:3000858,armA,protein homolog model,aminoglycoside antibiotic; antibiotic target alteration,matched,armA,Aminoglycoside,exact,High,,,28,24.91,Acinetobacter baumannii,True
ARO:3000860,rmtB,protein homolog model,aminoglycoside antibiotic; antibiotic target alteration,matched,rmtB,Aminoglycoside,exact,High,,,20,4.73,Klebsiella pneumoniae,True
ARO:3000861,rmtC,protein homolog model,aminoglycoside antibiotic; antibiotic target alteration,matched,rmtC,Aminoglycoside,exact,High,,,18,1.91,Providencia rettgeri,True
ARO:3000873,TEM-1,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-1,Beta-Lactamase,debla,High,,,66,35.9,Citrobacter werkmanii,True
ARO:3000874,TEM-2,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-2,Beta-Lactamase,debla,High,,,8,4.55,Providencia stuartii,True
ARO:3000875,TEM-3,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-3,Beta-Lactamase,debla,High,,,1,0.42,Klebsiella oxytoca,True
ARO:3000878,TEM-6,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-6,Beta-Lactamase,debla,High,,,1,0.0,Escherichia coli,True
ARO:3000881,TEM-9,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-9,Beta-Lactamase,debla,High,,,2,0.13,Klebsiella quasipneumoniae,True
ARO:3000882,TEM-10,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-10,Beta-Lactamase,debla,High,,,2,0.02,Klebsiella pneumoniae,True
ARO:3000884,TEM-12,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-12,Beta-Lactamase,debla,High,,,4,0.09,Enterobacter hormaechei,True
ARO:3000886,TEM-15,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-15,Beta-Lactamase,debla,High,,,3,0.13,Serratia marcescens,True
ARO:3000890,TEM-19,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-19,Beta-Lactamase,debla,High,,,2,0.13,Klebsiella quasipneumoniae,True
ARO:3000891,TEM-20,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-20,Beta-Lactamase,debla,High,,,1,0.01,Escherichia coli,True
ARO:3000894,TEM-24,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-24,Beta-Lactamase,debla,High,,,2,0.01,Klebsiella pneumoniae,True
ARO:3000896,TEM-26,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-26,Beta-Lactamase,debla,High,,,4,0.44,Enterobacter kobei,True
ARO:3000898,TEM-28,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-28,Beta-Lactamase,debla,High,,,1,0.26,Serratia marcescens,True
ARO:3000899,TEM-29,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-29,Beta-Lactamase,debla,High,,,2,0.01,Klebsiella pneumoniae,True
ARO:3000900,TEM-30,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-30,Beta-Lactamase,debla,High,,,6,7.69,Neisseria sicca,True
ARO:3000901,TEM-31,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-31,Beta-Lactamase,debla,High,,,3,0.27,Klebsiella michiganensis,True
ARO:3000902,TEM-32,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-32,Beta-Lactamase,debla,High,,,4,0.8,Shigella sonnei,True
ARO:3000903,TEM-33,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-33,Beta-Lactamase,debla,High,,,3,0.1,Klebsiella pneumoniae,True
ARO:3000904,TEM-34,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-34,Beta-Lactamase,debla,High,,,3,0.13,Haemophilus influenzae,True
ARO:3000905,TEM-35,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-35,Beta-Lactamase,debla,High,,,1,0.03,Escherichia coli,True
ARO:3000906,TEM-36,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-36,Beta-Lactamase,debla,High,,,1,0.01,Escherichia coli,True
ARO:3000907,TEM-37,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-37,Beta-Lactamase,debla,High,,,1,0.0,Escherichia coli,True
ARO:3000909,TEM-39,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-39,Beta-Lactamase,debla,High,,,1,0.01,Escherichia coli,True
ARO:3000910,TEM-40,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-40,Beta-Lactamase,debla,High,,,4,0.62,Shigella flexneri,True
ARO:3000916,TEM-47,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-47,Beta-Lactamase,debla,High,,,1,0.0,Escherichia coli,True
ARO:3000921,TEM-52,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-52,Beta-Lactamase,debla,High,,,5,1.02,Vibrio cholerae,True
ARO:3000923,TEM-54,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-54,Beta-Lactamase,debla,High,,,1,0.0,Escherichia coli,True
ARO:3000926,TEM-57,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-57,Beta-Lactamase,debla,High,,,2,0.09,Escherichia coli,True
ARO:3000931,TEM-63,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-63,Beta-Lactamase,debla,High,,,1,0.45,Vibrio cholerae,True
ARO:3000935,TEM-68,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-68,Beta-Lactamase,debla,High,,,1,0.0,Acinetobacter baumannii,True
ARO:3000937,TEM-71,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-71,Beta-Lactamase,debla,High,,,1,0.0,Xanthomonas oryzae,True
ARO:3000951,TEM-84,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-84,Beta-Lactamase,debla,High,,,6,0.74,Klebsiella pneumoniae,True
ARO:3000959,TEM-92,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-92,Beta-Lactamase,debla,High,,,1,0.17,Proteus mirabilis,True
ARO:3000960,TEM-93,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-93,Beta-Lactamase,debla,High,,,2,2.27,Providencia stuartii,True
ARO:3000962,TEM-95,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-95,Beta-Lactamase,debla,High,,,2,0.27,Haemophilus influenzae,True
ARO:3000967,TEM-104,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-104,Beta-Lactamase,debla,High,,,2,0.19,Citrobacter freundii,True
ARO:3000973,TEM-110,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-110,Beta-Lactamase,debla,High,,,4,0.61,Morganella morganii,True
ARO:3000978,TEM-115,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-115,Beta-Lactamase,debla,High,,,1,0.0,Escherichia coli,True
ARO:3000979,TEM-116,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-116,Beta-Lactamase,debla,High,,,54,25.81,Chlamydia trachomatis,True
ARO:3000984,TEM-122,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-122,Beta-Lactamase,debla,High,,,4,2.27,Providencia stuartii,True
ARO:3000989,TEM-127,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-127,Beta-Lactamase,debla,High,,,1,0.09,Enterobacter hormaechei,True
ARO:3000995,TEM-131,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-131,Beta-Lactamase,debla,High,,,1,0.17,Proteus mirabilis,True
ARO:3000997,TEM-133,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-133,Beta-Lactamase,debla,High,,,1,0.32,Enterobacter cloacae,True
ARO:3000999,TEM-135,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-135,Beta-Lactamase,debla,High,,,8,2.17,Escherichia fergusonii,True
ARO:3001017,TEM-150,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-150,Beta-Lactamase,debla,High,,,10,3.43,Shigella sonnei,True
ARO:3001022,TEM-156,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-156,Beta-Lactamase,debla,High,,,1,0.0,Escherichia coli,True
ARO:3001029,TEM-163,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-163,Beta-Lactamase,debla,High,,,3,0.03,Klebsiella pneumoniae,True
ARO:3001032,TEM-166,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-166,Beta-Lactamase,debla,High,,,1,0.02,Escherichia coli,True
ARO:3001034,TEM-168,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-168,Beta-Lactamase,debla,High,,,3,0.01,Acinetobacter baumannii,True
ARO:3001035,TEM-169,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-169,Beta-Lactamase,debla,High,,,3,0.08,Klebsiella pneumoniae,True
ARO:3001037,TEM-171,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-171,Beta-Lactamase,debla,High,,,7,0.41,Vibrio vulnificus,True
ARO:3001041,TEM-176,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-176,Beta-Lactamase,debla,High,,,6,3.64,Citrobacter amalonaticus,True
ARO:3001044,TEM-181,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-181,Beta-Lactamase,debla,High,,,8,2.04,Streptococcus lutetiensis,True
ARO:3001050,TEM-190,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-190,Beta-Lactamase,debla,High,,,2,0.09,Escherichia coli,True
ARO:3001051,TEM-191,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-191,Beta-Lactamase,debla,High,,,1,0.01,Acinetobacter baumannii,True
ARO:3001057,TEM-198,protein homolog model,antibiotic inactivation; cephalosporin; monobactam; penam; penem,matched,blaTEM-198,Beta-Lactamase,debla,High,,,5,0.47,Klebsiella pneumoniae,True
ARO:3001059,SHV-1,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,matched,blaSHV-1,Beta-Lactamase,debla,High,,,5,14.1,Klebsiella pneumoniae,True
ARO:3001060,SHV-2,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,matched,blaSHV-2,Beta-Lactamase,debla,High,,,7,2.56,Citrobacter werkmanii,True
ARO:3001061,SHV-2A,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,matched,blaSHV-2a,Beta-Lactamase,debla,High,,,6,0.4,Enterobacter asburiae,True
ARO:3001064,SHV-5,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,matched,blaSHV-5,Beta-Lactamase,debla,High,,,15,2.27,Providencia stuartii,True
ARO:3001066,SHV-7,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,matched,blaSHV-7,Beta-Lactamase,debla,High,,,10,0.97,Citrobacter freundii,True
ARO:3001070,SHV-11,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,matched,blaSHV-11,Beta-Lactamase,debla,High,,,8,25.69,Klebsiella pneumoniae,True
ARO:3001071,SHV-12,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,matched,blaSHV-12,Beta-Lactamase,debla,High,,,31,12.56,Enterobacter hormaechei,True
ARO:3001073,SHV-14,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,matched,blaSHV-14,Beta-Lactamase,debla,High,,,3,0.42,Klebsiella oxytoca,True
ARO:3001076,SHV-18,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,matched,blaSHV-18,Beta-Lactamase,debla,High,,,1,0.79,Klebsiella quasipneumoniae,True
ARO:3001082,SHV-24,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,matched,blaSHV-24,Beta-Lactamase,debla,High,,,1,0.01,Klebsiella pneumoniae,True
ARO:3001083,SHV-25,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,matched,blaSHV-25,Beta-Lactamase,debla,High,,,1,0.1,Klebsiella pneumoniae,True
ARO:3001084,SHV-26,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,matched,blaSHV-26,Beta-Lactamase,debla,High,,,1,0.82,Klebsiella pneumoniae,True
ARO:3001085,SHV-27,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,matched,blaSHV-27,Beta-Lactamase,debla,High,,,1,1.74,Klebsiella pneumoniae,True
ARO:3001086,SHV-28,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,matched,blaSHV-28,Beta-Lactamase,debla,High,,,1,7.02,Klebsiella pneumoniae,True
ARO:3001088,SHV-30,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,matched,blaSHV-30,Beta-Lactamase,debla,High,,,7,0.8,Klebsiella michiganensis,True
ARO:3001089,SHV-31,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,matched,blaSHV-31,Beta-Lactamase,debla,High,,,2,0.39,Citrobacter freundii,True
ARO:3001090,SHV-32,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,matched,blaSHV-32,Beta-Lactamase,debla,High,,,1,0.13,Klebsiella pneumoniae,True
ARO:3001091,SHV-33,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,matched,blaSHV-33,Beta-Lactamase,debla,High,,,1,0.82,Klebsiella pneumoniae,True
ARO:3001094,SHV-36,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,matched,blaSHV-36,Beta-Lactamase,debla,High,,,1,0.54,Klebsiella pneumoniae,True
ARO:3001095,SHV-37,protein homolog model,antibiotic inactivation; carbapenem; cephalosporin; penam,matched,blaSHV-37,Beta-Lactamase,debla,High,,,1,0.08,Klebsiella pneumoniae,True
